Sexo;Edad;Provincias;Periodo;Total
Ambos sexos;Total;05 Ávila;1 de enero de 2006;167.949,946596
Ambos sexos;Total;05 Ávila;1 de enero de 2005;166.165,532843
Ambos sexos;Total;05 Ávila;1 de enero de 2004;164.650,656475
Ambos sexos;Total;05 Ávila;1 de enero de 2003;163.548,751119
Ambos sexos;Total;06 Badajoz;1 de enero de 2022;666.954,696797
Ambos sexos;Total;06 Badajoz;1 de enero de 2021;669.594,296877
Ambos sexos;Total;06 Badajoz;1 de enero de 2020;670.903,201095
Ambos sexos;Total;06 Badajoz;1 de enero de 2019;672.492,981412
Ambos sexos;Total;06 Badajoz;1 de enero de 2018;674.925,692274
Ambos sexos;Total;06 Badajoz;1 de enero de 2017;678.473,061736
Ambos sexos;Total;06 Badajoz;1 de enero de 2016;682.571,709658
Ambos sexos;Total;06 Badajoz;1 de enero de 2015;686.092,284059
Ambos sexos;Total;06 Badajoz;1 de enero de 2014;688.646,789708
Ambos sexos;Total;06 Badajoz;1 de enero de 2013;690.893,996957
Ambos sexos;Total;06 Badajoz;1 de enero de 2012;691.841,504762
Ambos sexos;Total;06 Badajoz;1 de enero de 2011;689.902,490383
Ambos sexos;Total;06 Badajoz;1 de enero de 2010;687.745,292972
Ambos sexos;Total;06 Badajoz;1 de enero de 2009;684.390,859594
Ambos sexos;Total;06 Badajoz;1 de enero de 2008;680.674,530958
Ambos sexos;Total;06 Badajoz;1 de enero de 2007;674.169,234863
Ambos sexos;Total;06 Badajoz;1 de enero de 2006;668.509,728257
Ambos sexos;Total;06 Badajoz;1 de enero de 2005;664.407,405771
Ambos sexos;Total;06 Badajoz;1 de enero de 2004;659.639,753960
Ambos sexos;Total;06 Badajoz;1 de enero de 2003;656.228,180220
Ambos sexos;Total;07 Balears, Illes;1 de enero de 2022;1.223.979,928078
Ambos sexos;Total;07 Balears, Illes;1 de enero de 2021;1.219.774,939580
Ambos sexos;Total;07 Balears, Illes;1 de enero de 2020;1.210.724,905461
Ambos sexos;Total;07 Balears, Illes;1 de enero de 2019;1.188.220,249105
Ambos sexos;Total;07 Balears, Illes;1 de enero de 2018;1.166.923,278560
Ambos sexos;Total;07 Balears, Illes;1 de enero de 2017;1.150.934,964800
Ambos sexos;Total;07 Balears, Illes;1 de enero de 2016;1.135.527,450545
Ambos sexos;Total;07 Balears, Illes;1 de enero de 2015;1.124.972,476930
Ambos sexos;Total;07 Balears, Illes;1 de enero de 2014;1.115.841,066377
Ambos sexos;Total;07 Balears, Illes;1 de enero de 2013;1.110.114,656986
Ambos sexos;Total;07 Balears, Illes;1 de enero de 2012;1.100.715,313691
Ambos sexos;Total;07 Balears, Illes;1 de enero de 2011;1.091.655,877762
Ambos sexos;Total;07 Balears, Illes;1 de enero de 2010;1.083.682,850156
Ambos sexos;Total;07 Balears, Illes;1 de enero de 2009;1.070.163,642821
Ambos sexos;Total;07 Balears, Illes;1 de enero de 2008;1.042.855,497982
Ambos sexos;Total;07 Balears, Illes;1 de enero de 2007;1.005.184,175053
Ambos sexos;Total;07 Balears, Illes;1 de enero de 2006;970.288,145000
Ambos sexos;Total;07 Balears, Illes;1 de enero de 2005;940.123,859469
Ambos sexos;Total;07 Balears, Illes;1 de enero de 2004;912.963,874821
Ambos sexos;Total;07 Balears, Illes;1 de enero de 2003;883.410,362017
Ambos sexos;Total;08 Barcelona;1 de enero de 2022;5.641.569,140423
Ambos sexos;Total;08 Barcelona;1 de enero de 2021;5.639.523,599634
Ambos sexos;Total;08 Barcelona;1 de enero de 2020;5.635.100,059794
Ambos sexos;Total;08 Barcelona;1 de enero de 2019;5.575.203,323467
Ambos sexos;Total;08 Barcelona;1 de enero de 2018;5.514.880,225161
Ambos sexos;Total;08 Barcelona;1 de enero de 2017;5.474.380,739932
Ambos sexos;Total;08 Barcelona;1 de enero de 2016;5.445.903,918853
Ambos sexos;Total;08 Barcelona;1 de enero de 2015;5.432.802,332626
Ambos sexos;Total;08 Barcelona;1 de enero de 2014;5.445.616,845844
Ambos sexos;Total;08 Barcelona;1 de enero de 2013;5.493.078,080577
Ambos sexos;Total;08 Barcelona;1 de enero de 2012;5.518.276,275478
Ambos sexos;Total;08 Barcelona;1 de enero de 2011;5.505.667,266341
Ambos sexos;Total;08 Barcelona;1 de enero de 2010;5.488.632,659951
Ambos sexos;Total;08 Barcelona;1 de enero de 2009;5.465.841,049962
Ambos sexos;Total;08 Barcelona;1 de enero de 2008;5.387.705,882560
Ambos sexos;Total;08 Barcelona;1 de enero de 2007;5.297.174,105318
Ambos sexos;Total;08 Barcelona;1 de enero de 2006;5.221.847,941713
Ambos sexos;Total;08 Barcelona;1 de enero de 2005;5.143.471,534653
